bookings,cancellations,cancellation_rate,potential_revenue,stay_revenue,realized_revenue,lost_revenue,cancellation_fee_revenue,room_nights_realized,room_nights_booked,adr,property_id,property_name,property_type,distribution_channel,commission_rate,commission_cost,net_revenue,net_revenue_per_booking
3269,688,0.2105,511348.33,351507.23,392617.21,118731.12,41109.98,6654,9149,59.0,P001,StayWise Resort Algarve,Resort,Corporate,0.03,11777.7,380838.92,116.5
7865,1325,0.1685,3291979.46,2647920.26,2710733.2,581246.26,62812.94,22562,28097,120.15,P001,StayWise Resort Algarve,Resort,Direct,0.02,54214.39,2656518.9,337.76
28925,9109,0.3149,13640200.08,8601923.04,8872230.34,4767969.74,270307.3,91038,136134,97.46,P001,StayWise Resort Algarve,Resort,TA/TO,0.18,1597000.39,7275229.42,251.52
1,0,0.0,563.5,563.5,563.5,0.0,0.0,5,5,112.7,P001,StayWise Resort Algarve,Resort,Undefined,0.12,67.62,495.88,495.88
3408,786,0.2306,602745.13,476377.69,512381.08,90364.05,36003.39,5485,6827,93.41,P002,StayWise City Lisbon,City,Corporate,0.03,15370.8,497009.95,145.84
6780,1232,0.1817,2174185.14,1677385.22,1706588.03,467597.11,29202.81,14663,18850,116.39,P002,StayWise City Lisbon,City,Direct,0.02,34131.59,1672456.28,246.67
193,37,0.1917,45997.42,33007.96,33007.96,12989.46,0.0,265,381,124.56,P002,StayWise City Lisbon,City,GDS,0.1,3300.8,29707.16,153.92
68945,31043,0.4503,22455934.77,12207639.31,14835889.27,7620045.5,2628249.96,115048,210517,128.95,P002,StayWise City Lisbon,City,TA/TO,0.18,2670451.59,12165435.03,176.45
4,4,1.0,607.5,0.0,0.0,607.5,0.0,0,12,0.0,P002,StayWise City Lisbon,City,Undefined,0.12,0.0,0.0,0.0
